population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	2385535	2040880	754	257571	259753	237347	681	0	772	0
ama_flo	2450641	2092528	755	258762	260486	243505	717	0	792	0
ama_mal	2449606	2096314	761	259274	260910	244330	711	0	784	0
ama_ros	2455578	2097650	758	259068	260714	244400	714	0	794	0
ama_txn	2457871	2098153	756	259049	260670	244124	715	0	798	0
ama_vul	2462829	2101958	757	259309	260901	244840	719	0	795	0
ama_zel	2393271	2046996	756	257551	259721	237718	687	0	773	0
chi_flo	2472287	2110468	761	259459	260990	245523	729	0	798	0
chi_mal	2400944	2051823	756	257880	260011	238506	698	0	771	0
chi_ros	2441461	2081933	757	258537	260397	242162	712	0	792	0
chi_txn	2474241	2111807	762	259616	261056	245476	725	0	805	0
chi_vul	2449382	2087056	755	258805	260603	242737	713	0	794	0
chi_zel	2466265	2104058	764	259298	260933	244642	715	0	802	0
flo_mal	2466099	2103332	757	259098	260753	244634	733	0	789	0
flo_ros	2502384	2130960	758	259647	261062	248065	743	0	810	0
flo_txn	2562470	2182473	766	261310	262124	253785	770	0	825	0
flo_vul	2510472	2136124	756	259918	261262	248666	747	0	812	0
flo_zel	2480176	2116581	763	259417	260968	245862	737	0	800	0
mal_ros	2475722	2112152	761	259497	261037	245971	734	0	794	0
mal_txn	2472678	2108588	758	259384	260925	245177	732	0	797	0
mal_vul	2483047	2116643	760	259743	261226	246400	736	0	797	0
mal_zel	2408972	2057885	758	257863	259978	238857	707	0	774	0
ros_txn	2507484	2134849	759	259876	261188	248378	743	0	818	0
ros_vul	2550517	2170006	761	261167	262099	252825	761	0	820	0
ros_zel	2449324	2088115	758	258502	260376	242530	720	0	794	0
txn_vul	2515625	2139985	757	260143	261393	248962	746	0	822	0
txn_zel	2482195	2118201	764	259594	261033	245844	735	0	805	0
vul_zel	2457477	2093415	756	258771	260580	243111	723	0	795	0
